"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8454","Deve exibir lista de produtos","Chromium","Thu Jun 12 19:42:13 BRT 2025","failed","Thu Jun 12 19:42:21 BRT 2025","Testes de produto","src\tests\products.test.ts","",""
"","4250","Realizar login com sucesso","","Fri Jun 13 11:30:20 BRT 2025","passed","Fri Jun 13 11:30:24 BRT 2025","Fluxo Login no SauceDemo","src\tests\login.test.ts","",""
"","6636","Realizar login com sucesso","Firefox","Thu Jun 12 19:44:19 BRT 2025","passed","Thu Jun 12 19:44:25 BRT 2025","Fluxo Login no SauceDemo","src\tests\login.test.ts","",""
"","7519","Deve filtrar produtos por categoria","Mobile","Thu Jun 12 19:44:32 BRT 2025","failed","Thu Jun 12 19:44:40 BRT 2025","Testes de produto","src\tests\products.test.ts","",""
"","6799","Comprar mochila com sucesso","Firefox","Thu Jun 12 19:44:13 BRT 2025","passed","Thu Jun 12 19:44:19 BRT 2025","Fluxo de Compra no SauceDemo","src\tests\checkout.test.ts","",""
"","2036","Realizar login com falha","Firefox","Thu Jun 12 19:44:27 BRT 2025","passed","Thu Jun 12 19:44:29 BRT 2025","Fluxo Login no SauceDemo","src\tests\login.test.ts","",""
"","2882","Realizar login com falha","Chromium","Thu Jun 12 19:44:15 BRT 2025","passed","Thu Jun 12 19:44:18 BRT 2025","Fluxo Login no SauceDemo","src\tests\login.test.ts","",""
"","987","Realizar login com falha","","Fri Jun 13 11:30:24 BRT 2025","passed","Fri Jun 13 11:30:25 BRT 2025","Fluxo Login no SauceDemo","src\tests\login.test.ts","",""
"","15781","Deve filtrar produtos por categoria","","Fri Jun 13 11:02:57 BRT 2025","failed","Fri Jun 13 11:03:13 BRT 2025","Testes de produto","src\tests\products.test.ts","",""
"","4563","Comprar mochila com sucesso","","Fri Jun 13 11:30:20 BRT 2025","passed","Fri Jun 13 11:30:24 BRT 2025","Fluxo de Compra no SauceDemo","src\tests\checkout.test.ts","",""
"","3484","Comprar mochila com sucesso","Mobile","Thu Jun 12 19:44:30 BRT 2025","passed","Thu Jun 12 19:44:34 BRT 2025","Fluxo de Compra no SauceDemo","src\tests\checkout.test.ts","",""
"","11954","Deve filtrar produtos por categoria","Firefox","Thu Jun 12 19:44:20 BRT 2025","failed","Thu Jun 12 19:44:32 BRT 2025","Testes de produto","src\tests\products.test.ts","",""
"","2065","Realizar login com sucesso","Chromium","Thu Jun 12 19:44:12 BRT 2025","passed","Thu Jun 12 19:44:14 BRT 2025","Fluxo Login no SauceDemo","src\tests\login.test.ts","",""
"","13729","Deve exibir lista de produtos","Firefox","Thu Jun 12 19:42:20 BRT 2025","failed","Thu Jun 12 19:42:33 BRT 2025","Testes de produto","src\tests\products.test.ts","",""
"","7139","Deve exibir lista de produtos","Mobile","Thu Jun 12 19:42:38 BRT 2025","failed","Thu Jun 12 19:42:45 BRT 2025","Testes de produto","src\tests\products.test.ts","",""
"","8150","Deve filtrar produtos por categoria","Chromium","Thu Jun 12 19:44:12 BRT 2025","failed","Thu Jun 12 19:44:21 BRT 2025","Testes de produto","src\tests\products.test.ts","",""
"","2842","Comprar mochila com sucesso","Chromium","Thu Jun 12 19:44:13 BRT 2025","passed","Thu Jun 12 19:44:15 BRT 2025","Fluxo de Compra no SauceDemo","src\tests\checkout.test.ts","",""
"","3615","Realizar login com sucesso","Mobile","Thu Jun 12 19:44:26 BRT 2025","passed","Thu Jun 12 19:44:30 BRT 2025","Fluxo Login no SauceDemo","src\tests\login.test.ts","",""
"","1319","Realizar login com falha","Mobile","Thu Jun 12 19:44:31 BRT 2025","passed","Thu Jun 12 19:44:32 BRT 2025","Fluxo Login no SauceDemo","src\tests\login.test.ts","",""
